Cathode Voltage V (+/- 0.01),Cathode Current A (+/- 0.05) ,Output current nA (+/- 0.01)
2.51,1.15,0.00
2.81,1.23,0.00
3.00,1.27,0.01
3.25,1.33,0.03
3.44,1.38,0.03
3.60,1.43,0.04
3.84,1.49,0.04
4.02,1.53,0.04
4.23,1.58,0.05
4.43,1.63,0.05
4.61,1.67,0.06
4.80,1.74,0.07
5.03,1.82,0.09
5.22,1.87,0.10
5.44,1.89,0.11
5.62,1.93,0.14
5.84,1.95,0.19
6.04,1.96,0.25
6.19,1.97,0.29
6.39,1.97,0.34
6.63,1.95,0.44
6.84,1.95,0.51
6.99,1.93,0.53
7.21,1.82,0.56
2.53,1.35,0.01
2.83,1.44,0.02
3.03,1.49,0.02
3.24,1.51,0.02
3.44,1.56,0.03
3.64,1.60,0.02
3.83,1.66,0.03
4.01,1.72,0.04
4.24,1.79,0.04
4.43,1.84,0.05
4.61,1.88,0.06
4.82,1.93,0.07
5.02,1.96,0.09
5.21,1.97,0.10
5.40,2.00,0.12
5.59,2.01,0.17
5.84,2.03,0.26
6.05,2.02,0.32
6.20,1.90,0.81
6.38,1.78,0.91
6.53,1.76,1.00
6.74,1.74,1.12
6.97,1.70,1.17
7.13,1.59,0.90
